date,game_id,home_team,away_team,favorite,underdog,spread,fav_votes,dog_votes,ensemble_pick_side,ensemble_pick_team,ensemble_correct
2025-11-24,2025-11-24_Cleveland_Toronto,Toronto,Cleveland,Cleveland,Toronto,2.5,0,4,UNDERDOG,Toronto,1
2025-11-24,2025-11-24_Denver_Memphis,Memphis,Denver,Denver,Memphis,8.5,0,4,UNDERDOG,Memphis,0
2025-11-24,2025-11-24_Detroit_Indiana,Indiana,Detroit,Detroit,Indiana,10.5,3,1,FAVORITE,Detroit,0
2025-11-24,2025-11-24_GoldenState_Utah,Golden State,Utah,Golden State,Utah,14.5,3,0,FAVORITE,Golden State,1
2025-11-24,2025-11-24_Houston_Phoenix,Phoenix,Houston,Houston,Phoenix,6.5,0,4,UNDERDOG,Phoenix,0
2025-11-24,2025-11-24_Miami_Dallas,Miami,Dallas,Miami,Dallas,8.5,0,4,UNDERDOG,Dallas,1
2025-11-24,2025-11-24_Milwaukee_Portland,Milwaukee,Portland,Milwaukee,Portland,1.5,3,1,FAVORITE,Milwaukee,0
2025-11-24,2025-11-24_Minnesota_Sacramento,Sacramento,Minnesota,Minnesota,Sacramento,9.5,0,4,UNDERDOG,Sacramento,1
2025-11-25,2025-11-25_Atlanta_Washington,Washington,Atlanta,Atlanta,Washington,10.5,0,3,UNDERDOG,Washington,1
2025-11-25,2025-11-25_Orlando_Philadelphia,Philadelphia,Orlando,Orlando,Philadelphia,3.5,4,0,FAVORITE,Orlando,1
2025-11-26,2025-11-26_Detroit_Boston,Boston,Detroit,Detroit,Boston,3.5,4,0,FAVORITE,Detroit,0
2025-11-26,2025-11-26_GoldenState_Houston,Houston,Golden State,Golden State,Houston,2.5,1,3,UNDERDOG,Houston,0
2025-11-26,2025-11-26_Memphis_NewOrleans,New Orleans,Memphis,Memphis,New Orleans,3.5,0,3,UNDERDOG,New Orleans,0
2025-11-26,2025-11-26_Miami_Milwaukee,Miami,Milwaukee,Miami,Milwaukee,8.5,0,4,UNDERDOG,Milwaukee,1
2025-11-26,2025-11-26_NewYork_Charlotte,Charlotte,New York,New York,Charlotte,6.5,2,0,FAVORITE,New York,1
2025-11-26,2025-11-26_OklaCity_Minnesota,Minnesota,Okla City,Okla City,Minnesota,9.5,0,4,UNDERDOG,Minnesota,1
2025-11-26,2025-11-26_Phoenix_Sacramento,Sacramento,Phoenix,Phoenix,Sacramento,4.5,0,4,UNDERDOG,Sacramento,0
2025-11-26,2025-11-26_Portland_SanAntonio,Portland,San Antonio,Portland,San Antonio,1.5,4,0,FAVORITE,Portland,0
2025-11-26,2025-11-26_Toronto_Indiana,Toronto,Indiana,Toronto,Indiana,10.5,0,3,UNDERDOG,Indiana,1
2025-11-27,2025-11-27_Chicago_Charlotte,Charlotte,Chicago,Chicago,Charlotte,2.5,3,0,FAVORITE,Chicago,0
2025-11-27,2025-11-27_Cleveland_Atlanta,Atlanta,Cleveland,Cleveland,Atlanta,4.5,0,4,UNDERDOG,Atlanta,1
2025-11-27,2025-11-27_Detroit_Orlando,Detroit,Orlando,Detroit,Orlando,4.5,1,0,FAVORITE,Detroit,0
2025-11-27,2025-11-27_Indiana_Washington,Indiana,Washington,Indiana,Washington,6.5,4,0,FAVORITE,Indiana,1
2025-11-27,2025-11-27_LaClippers_Memphis,La Clippers,Memphis,La Clippers,Memphis,6.5,2,1,FAVORITE,La Clippers,0
