date,favorite,underdog,spread,model_name,model_type,probability,predicted_cover,actual_cover,correct,week,Date,Favorite,Underdog,Fav. Odds,Dog Odds,fav_implied_prob,dog_implied_prob,model_fav_prob,model_dog_prob,regressed_fav_prob,regressed_dog_prob,fav_predictive_edge,dog_predictive_edge,best_edge,best_side,regressed_prediction,regressed_correct
2025-10-25,Memphis,Indiana,1.5,logistic,Home Favorite,0.3689995973715287,0,1,False,43,2025-10-25,Memphis,Indiana,105,-113,0.4878048780487805,0.5305164319248826,0.3689995973715287,0.6310004026284712,0.44622302981174233,0.5656858216711387,-0.041581848237038144,0.03516938974625605,0.03516938974625605,underdog,0,0
2025-10-25,Denver,Phoenix,13.5,logistic,Home Favorite,0.5496209308197968,1,1,True,43,2025-10-25,Denver,Phoenix,106,-113,0.4854368932038835,0.5305164319248826,0.5496209308197968,0.4503790691802032,0.5079013063694532,0.5024683549642448,0.022464413165569685,-0.028048076960637824,0.022464413165569685,favorite,1,1
2025-10-26,San Antonio,Brooklyn,10.5,logistic,Away Favorite,0.3930002190721562,0,0,True,43,2025-10-26,San Antonio,Brooklyn,-111,105,0.5260663507109005,0.4878048780487805,0.3930002190721562,0.6069997809278438,0.47949320463733996,0.5295230940564526,-0.0465731460735605,0.041718216007672115,0.041718216007672115,underdog,0,1
2025-10-26,Detroit,Boston,3.5,logistic,Home Favorite,0.3744636172264236,0,1,False,43,2025-10-26,Detroit,Boston,-104,-103,0.5098039215686274,0.5073891625615764,0.3744636172264236,0.6255363827735765,0.4624348150488561,0.5487406896357764,-0.04736910651977133,0.04135152707419998,0.04135152707419998,underdog,0,0
2025-10-26,Cleveland,Milwaukee,6.5,logistic,Home Favorite,0.6797867440048246,1,0,False,43,2025-10-26,Cleveland,Milwaukee,-105,-101,0.5121951219512195,0.5024875621890548,0.6797867440048246,0.32021325599517536,0.5708521896699813,0.438691555021197,0.05865706771876178,-0.06379600716785777,0.05865706771876178,favorite,1,0
2025-10-26,New York,Miami,2.5,logistic,Away Favorite,0.6800184378059969,1,0,False,43,2025-10-26,New York,Miami,-110,-110,0.5238095238095238,0.5238095238095238,0.6800184378059969,0.3199815621940031,0.5784826437082894,0.45246973724409156,0.054673119898765554,-0.07133978656543227,0.054673119898765554,favorite,1,0
2025-10-26,Washington,Charlotte,2.5,logistic,Home Favorite,0.5897580146208788,1,0,False,43,2025-10-26,Washington,Charlotte,101,-111,0.4975124378109453,0.5260663507109005,0.5897580146208788,0.41024198537912115,0.5297983896944221,0.4855278228447777,0.03228595188347677,-0.040538527866122775,0.03228595188347677,favorite,1,0
2025-10-26,Minnesota,Indiana,12.5,logistic,Home Favorite,0.4408621744573979,0,0,True,43,2025-10-26,Minnesota,Indiana,102,-105,0.49504950495049505,0.5121951219512195,0.4408621744573979,0.559137825542602,0.47608393927791104,0.5286250682082034,-0.018965565672584006,0.016429946256983907,0.016429946256983907,underdog,0,1
2025-10-26,Dallas,Toronto,1.5,logistic,Home Favorite,0.3678322055694222,0,1,False,43,2025-10-26,Dallas,Toronto,-110,-110,0.5238095238095238,0.5238095238095238,0.3678322055694222,0.6321677944305778,0.46921746242548823,0.5617349185268927,-0.054592061384035606,0.03792539471736889,0.03792539471736889,underdog,0,0
2025-10-26,La Clippers,Portland,8.5,logistic,Home Favorite,0.6675913285621079,1,0,False,43,2025-10-26,La Clippers,Portland,-110,-110,0.5238095238095238,0.5238095238095238,0.6675913285621079,0.3324086714378921,0.5741331554729282,0.4568192254794527,0.05032363166340437,-0.06699029833007114,0.05032363166340437,favorite,1,0
