date,game_id,home_team,away_team,favorite_team,underdog_team,spread,model_name,pick_side,pick_team,pick_line,result
2025-11-16,2025-11-16_Washington_Brooklyn,Washington,Brooklyn,Washington,Brooklyn,2.5,Logistic,FAVORITE,Washington,-2.5,LOSS
2025-11-16,2025-11-16_Washington_Brooklyn,Washington,Brooklyn,Washington,Brooklyn,2.5,Linear,FAVORITE,Washington,-2.5,LOSS
2025-11-16,2025-11-16_Washington_Brooklyn,Washington,Brooklyn,Washington,Brooklyn,2.5,Random Forest,FAVORITE,Washington,-2.5,LOSS
2025-11-16,2025-11-16_Washington_Brooklyn,Washington,Brooklyn,Washington,Brooklyn,2.5,Decision Tree,FAVORITE,Washington,-2.5,LOSS
2025-11-16,2025-11-16_Houston_Orlando,Houston,Orlando,Houston,Orlando,7.5,Logistic,FAVORITE,Houston,-7.5,LOSS
2025-11-16,2025-11-16_Houston_Orlando,Houston,Orlando,Houston,Orlando,7.5,Linear,FAVORITE,Houston,-7.5,LOSS
2025-11-16,2025-11-16_Houston_Orlando,Houston,Orlando,Houston,Orlando,7.5,Random Forest,FAVORITE,Houston,-7.5,LOSS
2025-11-16,2025-11-16_Houston_Orlando,Houston,Orlando,Houston,Orlando,7.5,Decision Tree,FAVORITE,Houston,-7.5,LOSS
2025-11-16,2025-11-16_GoldenState_NewOrleans,New Orleans,Golden State,Golden State,New Orleans,10.5,Logistic,FAVORITE,Golden State,-10.5,WIN
2025-11-16,2025-11-16_GoldenState_NewOrleans,New Orleans,Golden State,Golden State,New Orleans,10.5,Linear,FAVORITE,Golden State,-10.5,WIN
2025-11-16,2025-11-16_GoldenState_NewOrleans,New Orleans,Golden State,Golden State,New Orleans,10.5,Random Forest,FAVORITE,Golden State,-10.5,WIN
2025-11-16,2025-11-16_GoldenState_NewOrleans,New Orleans,Golden State,Golden State,New Orleans,10.5,Decision Tree,NO BET,,,NO BET
2025-11-16,2025-11-16_Portland_Dallas,Dallas,Portland,Portland,Dallas,4.5,Logistic,FAVORITE,Portland,-4.5,LOSS
2025-11-16,2025-11-16_Portland_Dallas,Dallas,Portland,Portland,Dallas,4.5,Linear,UNDERDOG,Dallas,4.5,WIN
2025-11-16,2025-11-16_Portland_Dallas,Dallas,Portland,Portland,Dallas,4.5,Random Forest,FAVORITE,Portland,-4.5,LOSS
2025-11-16,2025-11-16_Portland_Dallas,Dallas,Portland,Portland,Dallas,4.5,Decision Tree,UNDERDOG,Dallas,4.5,WIN
2025-11-16,2025-11-16_Atlanta_Phoenix,Phoenix,Atlanta,Atlanta,Phoenix,1.5,Logistic,UNDERDOG,Phoenix,1.5,LOSS
2025-11-16,2025-11-16_Atlanta_Phoenix,Phoenix,Atlanta,Atlanta,Phoenix,1.5,Linear,UNDERDOG,Phoenix,1.5,LOSS
2025-11-16,2025-11-16_Atlanta_Phoenix,Phoenix,Atlanta,Atlanta,Phoenix,1.5,Random Forest,UNDERDOG,Phoenix,1.5,LOSS
2025-11-16,2025-11-16_Atlanta_Phoenix,Phoenix,Atlanta,Atlanta,Phoenix,1.5,Decision Tree,UNDERDOG,Phoenix,1.5,LOSS
2025-11-16,2025-11-16_Chicago_Utah,Utah,Chicago,Chicago,Utah,4.5,Logistic,FAVORITE,Chicago,-4.5,LOSS
2025-11-16,2025-11-16_Chicago_Utah,Utah,Chicago,Chicago,Utah,4.5,Linear,FAVORITE,Chicago,-4.5,LOSS
2025-11-16,2025-11-16_Chicago_Utah,Utah,Chicago,Chicago,Utah,4.5,Random Forest,FAVORITE,Chicago,-4.5,LOSS
2025-11-16,2025-11-16_Chicago_Utah,Utah,Chicago,Chicago,Utah,4.5,Decision Tree,UNDERDOG,Utah,4.5,WIN
2025-11-17,2025-11-17_Cleveland_Milwaukee,Cleveland,Milwaukee,Cleveland,Milwaukee,7.5,Logistic,FAVORITE,Cleveland,-7.5,WIN
